,F4_GI_1,F4_GI_2,F4_GI_3,F4_GI_4,F4_HG_1,F4_HG_2,F4_HG_3,F5_GI_1,F5_GI_2,F5_GI_3,F5_GI_4,F5_HG_1,F5_HG_2,F5_HG_3,F6_GI_1,F6_GI_4,F6_HG_1,F6_HG_2,F6_HG_3,F7_GI_2,F7_GI_3,F7_GI_4,F7_HG_1,F7_HG_2,F7_HG_3,F8_GI_1,F8_GI_2,F8_GI_4,F8_HG_1,F8_HG_2,F8_HG_3,Species,Gut_SubSection,Gut_SubSection.padjust,Species.padjust,cluster.index,CF_componentindex,CF_NrNodes,CF_kingdom,CF_kingdom_score,CF_superclass,CF_superclass_score,CF_class,CF_class_score,CF_subclass,CF_subclass_score,CF_Dparent,CF_Dparent_score,CF_MFramework,CF_MFramework_score,row.ID,row.m.z,row.retention.time,Component.Index,Library.ID,Library.Common.Name,Analog.ID,analog_mass_difference,Common.Name
516,1.674962779,-0.3,1.113630262,-0.3,-0.3,-0.3,-0.3,1.743959671,-0.3,1.206338749,0.654467165,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.49417461,1.129136297,1.204579344,-0.3,-0.3,1.827931443,1.378399456,0.822425163,-0.3,-0.3,-0.3,0.223571013,0.001846805,0.02153296,0.592791503,516,S235,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,516,133.0311607,0.838832927,-1,N/A,N/A,N/A,N/A,N/A
518,2.185080421,0.194238634,0.445686437,0.571419157,-0.3,-0.3,-0.3,2.532641742,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.569742196,-0.3,-0.3,-0.3,-0.3,1.99026537,0.453685844,0.258479205,0.22403814,-0.3,-0.3,1.02117125,1.21543111,0.050193054,-0.3,-0.3,-0.3,0.225841752,6.18E-06,0.000225712,0.592791503,518,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857,518,261.1447571,3.044829358,276,N/A,N/A,5-L-Glutamyl-L-alanine,42.0472,Glu-Ala
525,2.144221108,-0.3,0.467192277,0.735475173,-0.3,-0.3,-0.3,2.436341516,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.264914211,-0.3,-0.3,-0.3,-0.3,1.807255611,0.301130146,0.183852569,-0.3,-0.3,-0.3,2.238972348,0.934086611,0.001496982,-0.3,-0.3,-0.3,0.306001754,2.80E-06,0.000139114,0.708460069,525,127,3,Organic compounds,1,Organoheterocyclic compounds,0.425,Organooxygen compounds,0.15,Cytisine and derivatives,0.141666667,Cytisine and derivatives,0.141666667,Aromatic heteropolycyclic compounds,0.733333333,525,295.1292502,3.352127193,-1,Glu-Phe,Glu-Phe,Spectral Match to DL-Phenylalanine from NIST14,36.0347,Glu-Phe
530,2.127080825,-0.3,0.721863465,-0.3,-0.3,-0.3,-0.3,2.41404465,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.569133275,-0.3,-0.3,-0.3,-0.3,1.626368387,0.565683975,0.113952811,-0.3,-0.3,-0.3,2.39800847,0.932471491,-0.3,-0.3,-0.3,-0.3,0.236747773,1.12E-07,1.54E-05,0.607339715,530,289,3,Organic compounds,1,Phenylpropanoids and polyketides,0.457671958,Coumarins and derivatives,0.424338624,,0.221693122,Psoralens,0.142857143,Aromatic heteropolycyclic compounds,0.697354497,530,279.1010849,1.343560959,-1,N/A,N/A,.gamma.-Glu-Cys,28.0311,Glu-Cys
536,1.850702782,0.634761882,0.918399825,0.88734208,-0.3,-0.3,-0.3,2.077720552,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.926150881,-0.3,-0.3,-0.3,-0.3,1.554670008,1.19957112,0.638696353,-0.3,-0.3,-0.3,1.822291296,1.434768274,-0.3,-0.3,-0.3,-0.3,0.460132998,8.39E-06,0.00028194,0.862960772,536,S244,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,536,146.0589846,2.603429861,153,N/A,N/A,"Methanone, (4-ethyl-1-naphthalenyl)[1-(5-hydroxypentyl)-1H-indol-3-yl]-",37.0214,Methanone
551,2.5432429,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.679040075,-0.3,-0.3,-0.3,-0.3,2.291092198,0.721776725,-0.3,-0.3,-0.3,-0.3,2.858915041,1.26730117,-0.3,-0.3,-0.3,-0.3,0.619695976,0.000863869,0.013063092,0.862960772,551,238,2,Organic compounds,0.5,Organic acids and derivatives,0.277777778,Carboxylic acids and derivatives,0.222222222,"Amino acids, peptides, and analogues",0.222222222,Alpha amino acid amides,0.111111111,Aromatic heteropolycyclic compounds,0.388888889,551,311.1242768,1.773436164,83,.alpha.-L-Glu-L-Tyr,Glu-Tyr,Ala-Tyr,58.006,Glu-Tyr
554,3.060292902,2.213075226,-0.3,-0.3,-0.3,-0.3,-0.3,1.078084518,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.255068224,1.138210007,-0.3,-0.3,-0.3,-0.3,0.767779289,1.327765372,-0.3,-0.3,-0.3,-0.3,0.518980439,0.001973324,0.02206901,0.862960772,554,S250,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,554,310.1755738,1.291881452,-1,N/A,N/A,N/A,N/A,N/A
558,2.063434118,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.362632345,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.835365525,1.424177924,0.897753156,-0.3,-0.3,-0.3,2.087113912,1.774342135,-0.3,-0.3,-0.3,-0.3,0.17523497,0.002309534,0.023879715,0.526544901,558,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,558,159.0907641,2.626168095,153,N/A,N/A,N/A,N/A,N/A
640,2.449251114,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,3.957365448,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.61351489,-0.3,-0.3,-0.3,-0.3,-0.3,1.534807023,-0.3,-0.3,-0.3,-0.3,-0.3,0.36107069,0.001065237,0.015361845,0.763964239,640,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231,640,384.1154069,2.264580769,197,Succinoadenosine,Succinoadenosine,Adenylosuccinic acid,79.9659,Succinoadenosine
644,1.655488145,1.495130505,-0.3,-0.3,-0.3,-0.3,-0.3,0.763826556,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,4.011452777,-0.3,-0.3,-0.3,-0.3,1.829891999,-0.3,-0.3,-0.3,-0.3,-0.3,0.759737863,-0.3,-0.3,-0.3,-0.3,-0.3,0.2737903,0.000306579,0.006000187,0.653244764,644,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,644,464.28324,5.376849722,44,"2-((R)-4-((3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid",taurodeoxycholic acid ,"""2-((R)-4-((3R,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid""",0.000213623,taurodeoxycholic acid 
645,1.260401416,1.599121724,-0.3,-0.3,-0.3,-0.3,-0.3,0.575819129,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,4.153473722,-0.3,-0.3,-0.3,-0.3,2.016357721,-0.3,-0.3,-0.3,-0.3,-0.3,0.245216923,0.109649717,-0.3,-0.3,-0.3,-0.3,0.254017827,0.001436848,0.019251968,0.632735314,645,S292,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,645,482.2936101,5.083041667,44,"2-((4R)-4-((3R,5S,7R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid",taurodeoxycholic acid ,"""2-((4R)-4-((3R,5R,6R,8S,9S,10R,13R,17R)-3,6-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid""",18.0106,taurodeoxycholic acid 
647,1.173360081,2.324373838,1.471222336,1.048295983,-0.3,-0.3,-0.3,0.130238095,1.795653402,0.853074265,0.559804723,-0.3,-0.3,-0.3,0.986218616,0.241075209,-0.3,-0.3,-0.3,1.08695285,-0.3,0.30503498,-0.3,-0.3,-0.3,0.370229104,1.435516501,-0.3,-0.3,-0.3,-0.3,0.672737858,2.25E-07,2.47E-05,0.865785514,647,S293,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,647,375.289237,6.240449296,5,"(R)-4-((5R,8R,9S,10S,13R,14S,17R)-10,13-dimethyl-3-oxohexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",3-ketolithocholic acid ,"""(R)-4-((3S,5S,8R,9S,10S,12S,13R,14S,17R)-3,12-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",18.0102,3-ketolithocholic acid 
648,0.345441957,1.910978557,2.027396423,1.243166974,-0.3,-0.3,-0.3,0.165420097,-0.166483166,1.584730924,-0.3,-0.3,-0.3,-0.3,-0.3,0.729759463,-0.3,-0.3,-0.3,1.571420136,2.170231411,0.776417854,-0.3,-0.3,-0.3,0.541042268,0.100615305,-0.3,-0.3,-0.3,-0.3,0.762471421,8.75E-06,0.00028194,0.902782481,648,38,13,Organic compounds,0.923076923,Lipids and lipid-like molecules,0.625641026,Sphingolipids,0.289102564,Ceramides,0.238461538,Ceramides,0.197435897,Aliphatic acyclic compounds,0.730769231,648,391.2846556,5.942993376,5,"(R)-4-((3S,5R,6R,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",cholic acid ,"""(R)-4-((3S,5R,6R,7R,8S,9S,10R,13R,14S,17R)-3,6,7-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.000701904,cholic acid 
649,-0.3,3.21825469,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.930242749,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.666513215,1.931359017,-0.3,-0.3,-0.3,-0.3,-0.3,2.192550753,-0.3,-0.3,-0.3,-0.3,0.658575954,4.15E-07,3.57E-05,0.865785514,649,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,649,785.592484,6.264117143,133,"(R)-4-((3S,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",deoxycholic acid ,"""(R)-4-((3S,5S,7R,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.000488281,deoxycholic acid 
650,1.82952608,2.060913591,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,3.741181419,-0.3,-0.3,-0.3,-0.3,1.931827333,-0.3,-0.3,-0.3,-0.3,-0.3,0.760211772,-0.3,-0.3,-0.3,-0.3,-0.3,0.450834296,0.004249035,0.038171656,0.862960772,650,S294,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,650,466.2983659,6.12168224,-1,"2-((4R)-4-((3R,5R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid",taurolithocholic acid ,"""2-((4R)-4-((3R,5R,9S,10S,13R,14S,17R)-3-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid""",0.000396729,taurolithocholic acid 
667,1.423282598,2.159303719,-0.3,-0.3,-0.3,-0.3,-0.3,0.410848748,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,4.107202119,-0.3,-0.3,-0.3,-0.3,0.522653895,0.152172505,-0.3,-0.3,-0.3,-0.3,0.472497145,1.063592452,-0.3,-0.3,-0.3,-0.3,0.335620026,0.001238514,0.017402709,0.738633631,667,159,2,Organic compounds,1,Benzenoids,0.347222222,Prenol lipids,0.243055556,Monoterpenoids,0.243055556,Aromatic monoterpenoids,0.243055556,Aromatic heteromonocyclic compounds,0.541666667,667,533.3143975,5.532235294,5,"(6R)-2-(hydroxymethyl)-6-((3R,5R,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)heptyl hydrogen sulfate",sulfated cyprinol,"""(3R,7R,9S,10S,12S,13R,14S,17R)-17-((2R)-6,7-dihydroxy-6-methylheptan-2-yl)-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthrene-3,7,12-triol""",79.9574,sulfated cyprinol
670,1.983989067,2.755960758,1.347986338,-0.3,-0.3,-0.3,-0.3,0.518127993,1.212182128,0.464351542,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.00053407,2.385682909,0.904986052,-0.3,-0.3,-0.3,0.226082891,0.00174542,0.02153296,0.592791503,670,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,670,499.3090408,6.068433854,5,N/A,N/A,"""(6R)-2-(hydroxymethyl)-6-((3R,5R,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)heptyl hydrogen sulfate""",2.01599,Sulfated cyprinol
687,1.454907675,2.585035842,1.74215683,-0.3,-0.3,-0.3,-0.3,-0.3,2.157612028,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.315611921,1.490001533,-0.3,-0.3,-0.3,-0.3,-0.3,1.748115426,-0.3,-0.3,-0.3,-0.3,0.957125008,3.05E-06,0.000139114,0.973106688,687,3,74,Organic compounds,1,Lipids and lipid-like molecules,0.826045201,Prenol lipids,0.390973928,Diterpenoids,0.1878003,Diterpenoids,0.119417632,Aliphatic homopolycyclic compounds,0.268458231,687,339.2679072,6.270112681,-1,N/A,N/A,21-Hydroxypregnenolone,42.0466,Hydroxypregnenolone
690,1.930165248,3.39211723,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.265721155,-0.3,-0.3,-0.3,-0.3,2.1584099,-0.3,-0.3,-0.3,-0.3,-0.3,0.823737239,-0.3,-0.3,-0.3,-0.3,-0.3,0.809175078,0.005141319,0.044721315,0.902782481,690,86,10,Organic compounds,1,Lipids and lipid-like molecules,0.656547619,Glycerophospholipids,0.257142857,Glycerophosphocholines,0.257142857,Monoalkylglycerophosphocholines,0.216865079,Aliphatic acyclic compounds,0.282142857,690,522.2861409,5.126872956,44,"2-((R)-4-((3S,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid",taurochenodeoxycholic acid ,"""2-((R)-4-((3S,5S,7S,8R,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid""",6.10E-05,taurochenodeoxycholic acid 
712,1.584492425,2.560420334,-0.3,-0.3,-0.3,-0.3,-0.3,0.499298376,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,3.612559372,-0.3,-0.3,-0.3,-0.3,0.548624246,-0.3,-0.3,-0.3,-0.3,-0.3,0.605072283,1.436699054,-0.3,-0.3,-0.3,-0.3,0.501828006,0.000390088,0.006895751,0.862960772,712,S325,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,712,555.2963205,5.537056289,199,"(6R)-2-hydroxy-2-methyl-6-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)heptyl hydrogen sulfate",sulfated bufol,"""(6R)-2-hydroxy-2-methyl-6-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)heptyl hydrogen sulfate""",0.000305176,sulfated bufol
714,1.55353051,0.946884955,-0.3,-0.3,-0.3,-0.3,-0.3,1.891898998,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.378825098,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,3.217135666,1.387611949,-0.3,-0.3,-0.3,-0.3,0.833409486,3.07E-08,8.41E-06,0.907968983,714,5,100,Organic compounds,0.93,Organic acids and derivatives,0.288345599,Carboxylic acids and derivatives,0.271099206,"Amino acids, peptides, and analogues",0.269849206,Dipeptides,0.112630952,Aromatic heteropolycyclic compounds,0.295015152,714,515.3041224,5.677512634,5,"(6R)-2-hydroxy-2-methyl-6-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)heptyl hydrogen sulfate",sulfated bufol,"""(6R)-2-hydroxy-2-methyl-6-((3R,5S,7R,8R,9S,10S,12S,13R,14S,17R)-3,7,12-trihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)heptyl hydrogen sulfate""",18.0111,sulfated bufol
722,2.310063378,2.246106371,1.798832551,-0.3,-0.3,-0.3,-0.3,0.325594793,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.895843016,-0.3,-0.3,-0.3,-0.3,1.267016117,1.118199189,-0.3,-0.3,-0.3,-0.3,-0.3,1.692556824,-0.3,-0.3,-0.3,-0.3,0.914120993,0.000530627,0.008552457,0.944138397,722,63,50,Organic compounds,1,Lipids and lipid-like molecules,0.470212121,Prenol lipids,0.177018038,,0.1856443,Diterpenoids,0.042135642,Aromatic heteropolycyclic compounds,0.382551948,722,343.1974928,3.391014545,-1,N/A,N/A,Asn Leu Leu,16.0314,Asn-Leu-Leu
724,1.20385622,1.534959791,-0.3,-0.3,-0.3,-0.3,-0.3,0.555675507,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,4.238153765,-0.3,-0.3,-0.3,-0.3,1.905080457,-0.3,-0.3,-0.3,-0.3,-0.3,0.55099359,-0.3,-0.3,-0.3,-0.3,-0.3,0.253596415,0.001840611,0.02153296,0.632735314,724,S330,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,724,506.2918812,6.083654924,44,"2-((4R)-4-((5S,9S,10S,12S,13R,14S,17R)-12-hydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanamido)ethane-1-sulfonic acid",taurolithocholic acid ,Tauroursodeoxycholic acid,15.9941,taurolithocholic acid 
749,1.096205926,1.300736526,1.969915323,1.568033268,-0.3,-0.3,-0.3,-0.3,1.995459057,1.367711842,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.4362321,1.393339454,1.037893914,-0.3,0.789139391,-0.3,-0.3,1.098970377,-0.3,-0.3,-0.3,-0.3,0.670986973,0.000511162,0.008488391,0.865785514,749,S343,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,749,297.108589,1.369391844,-1,Asp-Tyr,Asp-Tyr,Gly-Ala-Tyr,13.0311,Asp-Tyr
754,3.640162074,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,2.645090931,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.468872605,-0.3,-0.3,-0.3,-0.3,-0.3,1.666292434,0.865607673,-0.3,-0.3,-0.3,-0.3,0.355402355,0.000481771,0.008250331,0.760783167,754,S347,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,754,416.3157179,7.858632407,-1,N/A,N/A,N/A,N/A,N/A
788,1.641054687,-0.3,1.873835172,2.197229026,-0.3,-0.3,-0.3,1.997146535,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.701872704,1.956551446,-0.3,-0.3,-0.3,1.266454632,-0.3,-0.3,-0.3,-0.3,-0.3,0.400723834,0.005388758,0.046141244,0.82002859,788,S363,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,788,290.1697125,1.563003646,45,Adipoyl-L-carnitine,Adipoylcarnitine,Adipoyl-L-carnitine,0.00991821,Adipoylcarnitine
857,-0.3,1.516794805,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,3.477960072,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,1.814989611,2.618875634,-0.3,-0.3,-0.3,-0.3,-0.3,1.092304214,-0.3,-0.3,-0.3,-0.3,0.475069891,0.000142199,0.003117,0.862960772,857,S396,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,857,785.5927989,5.75419537,133,"(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid",chenodeoxycholic acid ,"""(4R)-4-((3R,5S,7S,9S,10S,13R,14S,17R)-3,7-dihydroxy-10,13-dimethylhexadecahydro-1H-cyclopenta[a]phenanthren-17-yl)pentanoic acid""",0.000244141,chenodeoxycholic acid 
859,-0.3,2.018762383,0.956600747,1.047552947,-0.3,0.700440625,-0.3,0.804867875,2.287938463,1.945519089,1.365988583,1.071328766,1.033916887,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,-0.194804076,-0.3,-0.3,-0.3,-0.3,-0.3,-0.3,0.385928212,-0.3,-0.3,-0.3,-0.3,0.544183684,0.002288697,0.023879715,0.862960772,859,S398,1,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,no matches,0,859,325.2123993,8.220257778,-1,N/A,N/A,N/A,N/A,N/A
